Time(secs), Persons Detected, Crowd Density (persons per pixel), Violation Count
0.2299825999999996,8,1.54320987654321e-05,0
0.518296399999997,8,1.54320987654321e-05,0
0.7531072999999964,6,1.1574074074074073e-05,1
0.9551421999999974,6,1.1574074074074073e-05,0
1.1628958999999952,7,1.3503086419753087e-05,0
1.3776103000000006,7,1.3503086419753087e-05,0
1.6186773999999957,7,1.3503086419753087e-05,0
1.8343633999999867,7,1.3503086419753087e-05,1
2.059209299999992,8,1.54320987654321e-05,0
2.4526204999999948,7,1.3503086419753087e-05,0
2.848817099999991,7,1.3503086419753087e-05,0
3.293045399999997,6,1.1574074074074073e-05,1
3.656550899999999,7,1.3503086419753087e-05,0
3.8686395999999945,6,1.1574074074074073e-05,1
4.0811384999999945,6,1.1574074074074073e-05,1
4.288662099999996,5,9.645061728395062e-06,0
4.501073199999993,7,1.3503086419753087e-05,0
4.702757899999995,7,1.3503086419753087e-05,1
4.9230718999999965,7,1.3503086419753087e-05,1
5.133207199999987,8,1.54320987654321e-05,0
