Time(secs), Persons Detected, Crowd Density (persons per pixel), Violation Count
0.3216071000000085,3,6.781684027777777e-06,0
0.4911935000000085,3,6.781684027777777e-06,1
0.6661596000000003,3,6.781684027777777e-06,1
0.8045845000000043,3,6.781684027777777e-06,0
0.9255738000000093,3,6.781684027777777e-06,1
1.0744724000000048,2,4.521122685185185e-06,0
1.2153126000000043,3,6.781684027777777e-06,2
1.328568500000003,3,6.781684027777777e-06,2
1.4480621000000014,3,6.781684027777777e-06,1
1.580611200000007,3,6.781684027777777e-06,2
1.6956664000000075,3,6.781684027777777e-06,2
1.818335900000008,4,9.04224537037037e-06,1
1.9403719000000024,4,9.04224537037037e-06,2
2.060661600000003,4,9.04224537037037e-06,2
2.196198200000012,3,6.781684027777777e-06,1
2.322901800000011,4,9.04224537037037e-06,2
2.462094300000004,4,9.04224537037037e-06,2
2.582161400000004,5,1.1302806712962962e-05,2
2.7226158,5,1.1302806712962962e-05,2
2.8551326000000046,4,9.04224537037037e-06,1
2.991502000000011,4,9.04224537037037e-06,1
3.1079256000000015,4,9.04224537037037e-06,1
3.236253600000012,4,9.04224537037037e-06,1
3.348903100000001,4,9.04224537037037e-06,1
3.4955587000000037,4,9.04224537037037e-06,1
3.6225234000000057,4,9.04224537037037e-06,1
3.7472263000000083,4,9.04224537037037e-06,1
3.8712593999999996,3,6.781684027777777e-06,0
3.9896097000000026,3,6.781684027777777e-06,0
4.1073550000000125,3,6.781684027777777e-06,0
4.231881600000008,3,6.781684027777777e-06,0
4.3550096000000025,3,6.781684027777777e-06,0
4.474778200000003,3,6.781684027777777e-06,0
4.623550200000011,3,6.781684027777777e-06,0
4.741825300000002,2,4.521122685185185e-06,1
4.872249100000005,3,6.781684027777777e-06,0
4.984593200000006,4,9.04224537037037e-06,1
5.105008400000003,4,9.04224537037037e-06,1
5.226329000000007,4,9.04224537037037e-06,3
5.3412600000000054,3,6.781684027777777e-06,0
5.4873805,4,9.04224537037037e-06,2
5.613874899999999,5,1.1302806712962962e-05,3
5.752154300000001,5,1.1302806712962962e-05,3
5.886406600000001,3,6.781684027777777e-06,1
6.013200300000008,5,1.1302806712962962e-05,4
6.137006700000001,5,1.1302806712962962e-05,3
6.268483700000004,5,1.1302806712962962e-05,4
6.380688599999999,5,1.1302806712962962e-05,3
6.529020800000012,5,1.1302806712962962e-05,3
6.6522184000000095,5,1.1302806712962962e-05,3
6.805900399999999,5,1.1302806712962962e-05,3
6.944086900000002,4,9.04224537037037e-06,2
7.061345299999999,4,9.04224537037037e-06,2
7.185000600000009,4,9.04224537037037e-06,2
7.303748600000006,4,9.04224537037037e-06,2
7.41942250000001,4,9.04224537037037e-06,2
7.555163500000006,4,9.04224537037037e-06,2
7.673614499999999,4,9.04224537037037e-06,3
7.801181100000008,4,9.04224537037037e-06,3
7.936741100000006,4,9.04224537037037e-06,2
8.055645900000002,4,9.04224537037037e-06,2
8.193115200000008,5,1.1302806712962962e-05,3
8.331497800000008,5,1.1302806712962962e-05,3
8.456501200000005,5,1.1302806712962962e-05,3
8.568024800000003,4,9.04224537037037e-06,3
8.68537710000001,4,9.04224537037037e-06,3
8.802814800000007,3,6.781684027777777e-06,2
8.920429500000012,4,9.04224537037037e-06,3
9.049306400000006,4,9.04224537037037e-06,2
9.192784500000002,4,9.04224537037037e-06,3
9.323670000000007,5,1.1302806712962962e-05,3
9.44367600000001,5,1.1302806712962962e-05,3
9.58241120000001,4,9.04224537037037e-06,2
9.72061140000001,5,1.1302806712962962e-05,4
9.84032640000001,5,1.1302806712962962e-05,4
9.954307400000005,5,1.1302806712962962e-05,4
10.078458800000007,4,9.04224537037037e-06,2
10.211697600000008,4,9.04224537037037e-06,2
10.325415800000002,5,1.1302806712962962e-05,4
10.467785400000011,5,1.1302806712962962e-05,4
10.588657800000007,5,1.1302806712962962e-05,4
10.715439900000007,5,1.1302806712962962e-05,4
10.829740300000012,5,1.1302806712962962e-05,4
10.949333300000006,5,1.1302806712962962e-05,4
11.076578000000012,5,1.1302806712962962e-05,4
11.222077100000007,5,1.1302806712962962e-05,4
11.367755800000012,5,1.1302806712962962e-05,4
11.497737100000009,5,1.1302806712962962e-05,4
11.622829100000004,5,1.1302806712962962e-05,3
11.7394259,4,9.04224537037037e-06,3
11.8532407,5,1.1302806712962962e-05,4
11.988835300000005,5,1.1302806712962962e-05,3
12.127188799999999,5,1.1302806712962962e-05,3
12.247825300000002,5,1.1302806712962962e-05,3
12.384469200000012,5,1.1302806712962962e-05,3
12.504324700000012,5,1.1302806712962962e-05,3
12.614550300000005,5,1.1302806712962962e-05,3
12.727725200000009,5,1.1302806712962962e-05,3
12.854376300000013,5,1.1302806712962962e-05,3
12.998973200000009,4,9.04224537037037e-06,3
