Time(secs), Persons Detected, Crowd Density (persons per pixel), Violation Count
0.20282720000000154,3,6.781684027777777e-06,0
0.4894939999999224,3,6.781684027777777e-06,0
0.6949532999999519,3,6.781684027777777e-06,0
0.8994147999999313,3,6.781684027777777e-06,0
1.104701299999988,3,6.781684027777777e-06,0
1.4810524999998051,2,4.521122685185185e-06,0
1.8398756999999932,3,6.781684027777777e-06,0
2.221426099999917,3,6.781684027777777e-06,0
2.602796299999909,3,6.781684027777777e-06,0
2.965574199999992,3,6.781684027777777e-06,0
3.338731199999984,3,6.781684027777777e-06,0
3.7375112999998237,4,9.04224537037037e-06,0
4.110145499999817,4,9.04224537037037e-06,0
4.3576620999999705,4,9.04224537037037e-06,0
4.544719799999939,3,6.781684027777777e-06,1
4.7610537999999,4,9.04224537037037e-06,0
4.948330299999952,4,9.04224537037037e-06,2
5.1389586999998755,5,1.1302806712962962e-05,2
5.357732799999894,5,1.1302806712962962e-05,2
5.551496399999905,4,9.04224537037037e-06,1
5.780566399999998,4,9.04224537037037e-06,1
6.164422799999784,4,9.04224537037037e-06,1
6.529710299999806,4,9.04224537037037e-06,1
6.90964259999987,4,9.04224537037037e-06,1
7.269578999999794,4,9.04224537037037e-06,1
7.638619099999914,4,9.04224537037037e-06,1
8.014913699999852,4,9.04224537037037e-06,1
8.390045199999804,3,6.781684027777777e-06,0
8.746477099999993,3,6.781684027777777e-06,0
9.000019699999939,3,6.781684027777777e-06,0
9.20699959999979,3,6.781684027777777e-06,0
9.41599559999986,3,6.781684027777777e-06,0
9.61707209999986,3,6.781684027777777e-06,0
9.811567999999852,3,6.781684027777777e-06,0
9.99887519999993,2,4.521122685185185e-06,1
10.18695959999991,3,6.781684027777777e-06,0
10.519372599999997,4,9.04224537037037e-06,1
10.883631499999865,4,9.04224537037037e-06,1
11.26734509999983,4,9.04224537037037e-06,1
11.655625599999894,3,6.781684027777777e-06,0
11.941084399999909,4,9.04224537037037e-06,0
12.143287399999963,5,1.1302806712962962e-05,1
12.338850699999966,5,1.1302806712962962e-05,1
12.53940119999993,4,9.04224537037037e-06,0
12.753087699999924,5,1.1302806712962962e-05,1
13.01945109999997,5,1.1302806712962962e-05,1
13.23054809999985,5,1.1302806712962962e-05,1
13.61645089999979,5,1.1302806712962962e-05,1
14.006468199999972,5,1.1302806712962962e-05,1
14.38753819999988,5,1.1302806712962962e-05,1
14.765825999999834,5,1.1302806712962962e-05,1
15.156643499999973,4,9.04224537037037e-06,0
15.517088699999931,4,9.04224537037037e-06,0
15.896926699999995,4,9.04224537037037e-06,0
16.277618299999858,4,9.04224537037037e-06,0
16.517560399999866,4,9.04224537037037e-06,0
16.719402399999808,4,9.04224537037037e-06,0
16.913789699999825,4,9.04224537037037e-06,1
17.127171499999804,4,9.04224537037037e-06,1
17.316446599999836,4,9.04224537037037e-06,0
17.513950199999954,4,9.04224537037037e-06,0
17.719731999999794,5,1.1302806712962962e-05,2
17.945654299999887,5,1.1302806712962962e-05,2
18.35456649999992,5,1.1302806712962962e-05,2
18.737547799999902,4,9.04224537037037e-06,1
19.109674599999835,4,9.04224537037037e-06,1
19.495095899999797,3,6.781684027777777e-06,0
19.693645999999944,4,9.04224537037037e-06,1
19.893400699999802,4,9.04224537037037e-06,0
20.096496399999978,4,9.04224537037037e-06,1
20.283213399999795,5,1.1302806712962962e-05,2
20.47859799999992,5,1.1302806712962962e-05,2
20.686002599999938,4,9.04224537037037e-06,1
20.90405399999986,5,1.1302806712962962e-05,1
21.265016399999922,5,1.1302806712962962e-05,1
21.636097099999915,5,1.1302806712962962e-05,1
22.011620399999856,4,9.04224537037037e-06,1
22.402207599999883,4,9.04224537037037e-06,1
22.790486599999895,5,1.1302806712962962e-05,1
23.153083799999877,5,1.1302806712962962e-05,2
23.512810599999966,5,1.1302806712962962e-05,2
23.889682999999877,5,1.1302806712962962e-05,2
24.14817009999979,5,1.1302806712962962e-05,1
24.360810999999785,5,1.1302806712962962e-05,1
24.57868099999996,5,1.1302806712962962e-05,1
24.814132799999925,5,1.1302806712962962e-05,1
25.040601999999808,5,1.1302806712962962e-05,1
25.245619699999907,5,1.1302806712962962e-05,2
25.43345639999984,5,1.1302806712962962e-05,1
25.734430699999848,4,9.04224537037037e-06,2
26.11137679999979,5,1.1302806712962962e-05,2
26.4878948999999,5,1.1302806712962962e-05,1
26.848239999999805,5,1.1302806712962962e-05,1
27.180516099999977,5,1.1302806712962962e-05,1
27.40414469999996,5,1.1302806712962962e-05,1
27.593358199999784,5,1.1302806712962962e-05,1
27.80066889999989,5,1.1302806712962962e-05,2
27.997214099999837,5,1.1302806712962962e-05,2
28.20340169999986,5,1.1302806712962962e-05,1
28.426174199999878,4,9.04224537037037e-06,1
28.775907699999834,4,9.04224537037037e-06,1
29.133635499999855,5,1.1302806712962962e-05,1
29.5158907,5,1.1302806712962962e-05,1
29.90124179999998,4,9.04224537037037e-06,0
30.19417069999986,4,9.04224537037037e-06,2
30.3931955999999,4,9.04224537037037e-06,2
30.62003209999989,5,1.1302806712962962e-05,1
30.816637199999832,4,9.04224537037037e-06,2
31.019041399999878,4,9.04224537037037e-06,1
31.218964400000004,3,6.781684027777777e-06,1
31.40471609999986,4,9.04224537037037e-06,2
31.609005799999977,5,1.1302806712962962e-05,2
32.02237029999992,5,1.1302806712962962e-05,1
32.400699299999815,4,9.04224537037037e-06,0
32.75849849999986,4,9.04224537037037e-06,0
33.17272619999994,5,1.1302806712962962e-05,0
33.531259699999964,5,1.1302806712962962e-05,0
33.90143809999995,4,9.04224537037037e-06,1
34.30034449999994,4,9.04224537037037e-06,1
34.67778339999995,5,1.1302806712962962e-05,2
34.911488799999915,4,9.04224537037037e-06,2
35.12329929999987,5,1.1302806712962962e-05,0
35.335228099999995,6,1.3563368055555555e-05,0
35.53640489999998,6,1.3563368055555555e-05,0
35.761350699999866,6,1.3563368055555555e-05,0
35.951438099999905,6,1.3563368055555555e-05,0
36.17029589999993,5,1.1302806712962962e-05,0
36.56973649999986,5,1.1302806712962962e-05,0
36.941085999999814,5,1.1302806712962962e-05,0
37.312624599999936,6,1.3563368055555555e-05,2
37.69792829999983,5,1.1302806712962962e-05,2
37.91761549999978,5,1.1302806712962962e-05,2
38.116129,7,1.5823929398148147e-05,2
38.31098739999993,7,1.5823929398148147e-05,0
38.51926349999985,7,1.5823929398148147e-05,2
38.73084969999991,7,1.5823929398148147e-05,2
38.92642809999984,7,1.5823929398148147e-05,2
39.172809299999926,7,1.5823929398148147e-05,2
39.545511199999964,7,1.5823929398148147e-05,2
39.9282546999998,5,1.1302806712962962e-05,0
40.40289389999998,5,1.1302806712962962e-05,1
40.75150759999997,5,1.1302806712962962e-05,0
40.94935899999996,6,1.3563368055555555e-05,0
41.16543429999979,6,1.3563368055555555e-05,0
41.352222799999936,6,1.3563368055555555e-05,0
41.54924429999983,5,1.1302806712962962e-05,1
41.74809749999986,6,1.3563368055555555e-05,1
41.950378,7,1.5823929398148147e-05,0
42.17764799999986,5,1.1302806712962962e-05,1
42.486641699999836,6,1.3563368055555555e-05,1
42.8570057999998,6,1.3563368055555555e-05,2
43.242867899999965,6,1.3563368055555555e-05,1
43.6002775999998,4,9.04224537037037e-06,0
43.91418729999987,4,9.04224537037037e-06,0
44.099916699999994,4,9.04224537037037e-06,0
44.30459269999983,4,9.04224537037037e-06,0
44.490161899999976,4,9.04224537037037e-06,1
44.68286019999982,6,1.3563368055555555e-05,1
44.88544909999996,7,1.5823929398148147e-05,1
45.088841999999886,6,1.3563368055555555e-05,0
45.38108249999982,6,1.3563368055555555e-05,1
45.75081660000001,5,1.1302806712962962e-05,0
46.12979659999996,4,9.04224537037037e-06,0
46.48907259999987,5,1.1302806712962962e-05,0
46.86776039999995,5,1.1302806712962962e-05,0
47.25739859999999,5,1.1302806712962962e-05,0
47.6297411999999,5,1.1302806712962962e-05,0
48.00340429999983,5,1.1302806712962962e-05,1
48.3690889999998,4,9.04224537037037e-06,0
48.56091349999997,4,9.04224537037037e-06,0
48.750386599999956,4,9.04224537037037e-06,1
48.96100149999984,5,1.1302806712962962e-05,0
49.16049399999997,5,1.1302806712962962e-05,0
49.3699474,4,9.04224537037037e-06,1
49.56836729999986,6,1.3563368055555555e-05,0
49.871370599999864,5,1.1302806712962962e-05,1
50.07181549999996,6,1.3563368055555555e-05,0
50.27010449999989,5,1.1302806712962962e-05,1
50.49753069999997,6,1.3563368055555555e-05,0
50.69704679999995,6,1.3563368055555555e-05,0
50.90160209999999,6,1.3563368055555555e-05,0
51.103178599999865,7,1.5823929398148147e-05,1
51.3122656999999,6,1.3563368055555555e-05,0
51.672971399999824,7,1.5823929398148147e-05,1
52.06087059999982,6,1.3563368055555555e-05,0
52.455158199999914,6,1.3563368055555555e-05,0
52.844234199999846,6,1.3563368055555555e-05,0
53.21905659999993,6,1.3563368055555555e-05,0
53.57626049999999,5,1.1302806712962962e-05,0
53.939435099999855,6,1.3563368055555555e-05,0
54.31398379999996,6,1.3563368055555555e-05,0
54.61437799999999,6,1.3563368055555555e-05,0
54.8290285999999,6,1.3563368055555555e-05,0
55.03430449999996,6,1.3563368055555555e-05,0
55.24624759999983,5,1.1302806712962962e-05,0
55.439617,6,1.3563368055555555e-05,0
55.65059629999996,6,1.3563368055555555e-05,0
55.85762549999981,7,1.5823929398148147e-05,1
56.21937969999999,7,1.5823929398148147e-05,0
56.611473799999885,7,1.5823929398148147e-05,0
56.99320469999998,6,1.3563368055555555e-05,0
57.37700219999988,7,1.5823929398148147e-05,1
57.782808499999874,6,1.3563368055555555e-05,0
58.1574764999998,6,1.3563368055555555e-05,0
58.51520239999991,5,1.1302806712962962e-05,0
58.90230059999999,5,1.1302806712962962e-05,0
59.145642099999804,5,1.1302806712962962e-05,0
59.348489399999835,6,1.3563368055555555e-05,0
59.53654499999993,6,1.3563368055555555e-05,1
59.74105089999989,6,1.3563368055555555e-05,1
59.9420591999999,5,1.1302806712962962e-05,0
60.14836339999988,5,1.1302806712962962e-05,0
60.34952079999994,5,1.1302806712962962e-05,1
60.602508899999975,4,9.04224537037037e-06,1
60.984298299999864,5,1.1302806712962962e-05,1
61.385765699999865,6,1.3563368055555555e-05,1
61.750054499999806,5,1.1302806712962962e-05,1
62.11478289999991,5,1.1302806712962962e-05,1
62.32677939999985,4,9.04224537037037e-06,0
